Row,NERR Site ID ,Station Code,Station Name,Lat Long,Latitude , Longitude, Status, Active Dates, State, Reserve Name,Real Time,HADS ID,GMT Offset,Station Type,Region,isSWMP
11,apa                                               ,apacpnut  ,Cat Point                               ,29° 42' 7.68 N - 84° 52' 48.72 W,29.7021,84.8802,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P
12,apa                                               ,apacpwq   ,Cat Point                               ,29° 42' 7.68 N - 84° 52' 48.72 W,29.7021,84.8802,Active    ,Jan 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,1,4,P
13,apa                                               ,apadbnut  ,Dry Bar                                 ,29° 40' 28.92 N - 85° 3' 29.88 W,29.6747,85.0583,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P
14,apa                                               ,apadbwq   ,Dry Bar                                 ,29° 40' 28.92 N - 85° 3' 29.88 W,29.6747,85.0583,Active    ,Jan 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,1,4,P
15,apa                                               ,apaebmet  ,East Bay                                ,29° 47' 27.24 N - 84° 53' 0.24 W,29.7909,84.8834,Active    ,Jan 2001-,fl        ,Apalachicola Bay                                  ,R         ,3B01C09E  ,-5        ,0,4,P
16,apa                                               ,apaebnut  ,East Bay Bottom                         ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P
17,apa                                               ,apaebwq   ,East Bay Bottom                         ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,May 1995-,fl        ,Apalachicola Bay                                  ,R         ,3B02D4E6  ,-5        ,1,4,P
18,apa                                               ,apaegnut  ,East Bay Bridge                         ,29° 43' 50.88 N - 84° 56' 42.72 W,29.7308,84.9452,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
19,apa                                               ,apaesnut  ,East Bay Surface                        ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P
20,apa                                               ,apaeswq   ,East Bay Surface                        ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 1995-,fl        ,Apalachicola Bay                                  ,,,-5        ,1,4,P
21,apa                                               ,apambnut  ,Mid Bay                                 ,29° 40' 3.72 N - 84° 59' 38.40 W,29.6677,84.994,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
22,apa                                               ,apanhnut  ,Nicks Hole                              ,29° 39' 1.44 N - 84° 55' 44.04 W,29.6504,84.9289,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
23,apa                                               ,apapcnut  ,Pilots Cove                             ,29° 36' 28.44 N - 85° 1' 10.56 W,29.6079,85.0196,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
24,apa                                               ,aparvnut  ,River                                   ,29° 46' 44.76 N - 85° 2' 36.24 W,29.7791,85.0434,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
25,apa                                               ,apascnut  ,Sikes Cut                               ,29° 36' 24.12 N - 84° 56' 48.12 W,29.6067,84.9467,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
26,apa                                               ,apawpnut  ,West Pass                               ,29° 38' 16.44 N - 85° 5' 20.40 W,29.6379,85.089,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S
27,cbm                                               ,cbmipnut  ,Iron Pot Landing                        ,38° 47' 45.60 N - 76° 43' 14.88 W,38.796,76.7208,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
28,cbm                                               ,cbmipwq   ,Iron Pot Landing                        ,38° 47' 45.60 N - 76° 43' 14.88 W,38.796,76.7208,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
29,cbm                                               ,cbmjbmet  ,Jug Bay                                 ,38° 46' 50.76 N - 76° 42' 29.52 W,38.7807667,76.7082000,Active    ,Jul 2003-,md        ,Chesapeake Bay                                    ,R         ,3B0071EA  ,-5        ,0,1,P
30,cbm                                               ,cbmjbwq   ,Jug Bay                                 ,38° 46' 45.12 N - 76° 42' 27.72 W,38.7792,76.7077,Inactive  ,Jul 1995-Dec 2002,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
31,cbm                                               ,cbmmcnut  ,Mataponi Creek                          ,38° 44' 35.88 N - 76° 42' 26.64 W,38.7433,76.7074,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
32,cbm                                               ,cbmmcwq   ,Mataponi Creek                          ,38° 44' 35.88 N - 76° 42' 26.64 W,38.7433,76.7074,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
33,cbm                                               ,cbmocnut  ,Otter Point Creek                       ,39° 27' 2.52 N - 76° 16' 28.56 W,39.4507,76.2746,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
34,cbm                                               ,cbmocwq   ,Otter Point Creek                       ,39° 27' 2.52 N - 76° 16' 28.56 W,39.4507,76.2746,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,R         ,3B03D61C  ,-5        ,1,1,P
35,cbm                                               ,cbmprwq   ,Patuxent River                          ,38° 46' 23.52 N - 76° 42' 32.76 W,38.7732,76.7091,Inactive  ,Jul 1995-Dec 2002,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
36,cbm                                               ,cbmrrnut  ,Railroad                                ,38° 46' 52.68 N - 76° 42' 49.32 W,38.7813,76.7137,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
37,cbm                                               ,cbmrrwq   ,Railroad                                ,38° 46' 52.68 N - 76° 42' 49.32 W,38.7813,76.7137,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,R         ,3B00629C  ,-5        ,1,1,P
38,cbv                                               ,cbvcbnut  ,Claybank                                ,37° 20' 47.99 N - 76° 36' 40.55 W,37.346665,76.611263,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
39,cbv                                               ,cbvcbwq   ,Claybank                                ,37° 20' 47.99 N - 76° 36' 40.55 W,37.346665,76.611263,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
40,cbv                                               ,cbvcinut  ,Catlett Islands                         ,37° 17' 60.00 N - 76° 32' 60.00 W,37.30000,76.55000,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,S
41,cbv                                               ,cbvginut  ,Goodwin Islands                         ,37° 12' 56.87 N - 76° 23' 33.63 W,37.215796,76.392675,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
42,cbv                                               ,cbvgiwq   ,Goodwin Islands                         ,37° 12' 56.87 N - 76° 23' 33.63 W,37.215796,76.392675,Active    ,Oct 1997-,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
43,cbv                                               ,cbvshnut  ,Sweethall                               ,37° 34' 16.97 N - 76° 53' 3.26 W,37.57138,76.88424,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
44,cbv                                               ,cbvshwq   ,Sweethall                               ,37° 34' 16.97 N - 76° 53' 3.26 W,37.57138,76.88424,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,R         ,3B03B3FA  ,-5        ,1,1,P
45,cbv                                               ,cbvtcmet  ,Taskinas Creek                          ,37° 24' 50.76 N - 76° 42' 44.53 W,37.4141,76.71237,Active    ,Jan 2001-,va        ,Chesapeake Bay                                    ,R         ,3B009218  ,-5        ,0,1,P
46,cbv                                               ,cbvtcnut  ,Taskinas Creek                          ,37° 24' 53.95 N - 76° 42' 51.91 W,37.414986,76.71442,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P
47,cbv                                               ,cbvtcwq   ,Taskinas Creek                          ,37° 24' 53.95 N - 76° 42' 51.91 W,37.414986,76.71442,Active    ,Sep 1995-,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P
48,cbv                                               ,cbvybnut  ,York River Bridge                       ,37° 14' 41.64 N - 76° 30' 18.72 W,37.2449,76.5052,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,S
49,del                                               ,delbbnut  ,Beaver Branch                           ,39° 24' 8.64 N - 75° 37' 40.80 W,39.4024,75.628,Active    ,Feb 2002,de        ,Delaware                                          ,,,-5        ,2,1,S
50,del                                               ,delblnut  ,Blackbird Landing                       ,39° 23' 19.54 N - 75° 38' 9.60 W,39.38876,75.63600,Active    ,Jan 2002,de        ,Delaware                                          ,,,-5        ,2,1,P
51,del                                               ,delblwq   ,Blackbird Landing                       ,39° 23' 19.54 N - 75° 38' 9.60 W,39.38876,75.63600,Active    ,Aug 1995-,de        ,Delaware                                          ,,,-5        ,1,1,P
52,del                                               ,deldsnut  ,Division Street                         ,39° 9' 49.32 N - 75° 31' 8.76 W,39.1637,75.5191,Active    ,Jan 2002,de        ,Delaware                                          ,,,-5        ,2,1,P
53,del                                               ,deldswq   ,Division Street                         ,39° 9' 49.32 N - 75° 31' 8.76 W,39.1637,75.5191,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,1,1,P
54,del                                               ,delllnut  ,Lebanon Landing                         ,39° 6' 51.84 N - 75° 29' 57.12 W,39.1144,75.4992,Active    ,Jan 2002,de        ,Delaware                                          ,,,-5        ,2,1,P
55,del                                               ,delllwq   ,Lebanon Landing                         ,39° 6' 51.84 N - 75° 29' 57.12 W,39.1144,75.4992,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,1,1,P
56,del                                               ,delpbwq   ,Penrose Branch                          ,39° 9' 52.92 N - 75° 39' 1.44 W,39.1647,75.6504,Inactive  ,Jun 1996-Dec 2001,de        ,Delaware                                          ,,,-5        ,1,1,P
57,del                                               ,delsjmet  ,Saint Jones River                       ,39° 5' 20.05 N - 75° 26' 12.78 W,39.0889028,75.4368833,Active    ,Jan 2001-,de        ,Delaware                                          ,R         ,3B00F7FE  ,-5        ,0,1,P
58,del                                               ,delslnut  ,Scotton Landing                         ,39° 5' 5.93 N - 75° 27' 38.09 W,39.08498,75.46058,Active    ,Jan 2002,de        ,Delaware                                          ,,,-5        ,2,1,P
59,del                                               ,delslwq   ,Scotton Landing                         ,39° 5' 5.93 N - 75° 27' 38.09 W,39.08498,75.46058,Active    ,Jul 1995-,de        ,Delaware                                          ,R         ,3B00E488  ,-5        ,1,1,P
340,del                                               ,deltbnut  ,Taylor's Bridge                         ,39° 24' 17.6 N - 75° 35' 58.4 W,39.4049,75.5996,Active    ,Jan 2007-,de        ,Delaware                                          ,,,-5        ,2,1,S
60,elk                                               ,elkapnut  ,Azevedo Pond                            ,36° 50' 44.52 N - 121° 45' 13.68 W,36.8457,121.7538,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P
61,elk                                               ,elkapwq   ,Azevedo Pond                            ,36° 50' 44.52 N - 121° 45' 13.68 W,36.8457,121.7538,Active    ,Jun 1995-,ca        ,Elkhorn Slough                                    ,R         ,3B053520  ,-8        ,1,6,P
62,elk                                               ,elkcwmet  ,Caspian Weather Station                 ,36° 45' 55.57 N - 121° 44' 17.32 W,36.8154361,121.7381444,Active    ,Jan 2001-,ca        ,Elkhorn Slough                                    ,R         ,3B0155FC  ,-8        ,0,6,P
63,elk                                               ,elknmnut  ,North Marsh                             ,36° 50' 4.56 N - 121° 44' 18.24 W,36.8346,121.7384,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P
64,elk                                               ,elknmwq   ,North Marsh                             ,36° 50' 4.56 N - 121° 44' 18.24 W,36.8346,121.7384,Active    ,Apr 1999-,ca        ,Elkhorn Slough                                    ,,,-8        ,1,6,P
65,elk                                               ,elksmnut  ,South Marsh                             ,36° 49' 4.44 N - 121° 44' 21.84 W,36.8179,121.7394,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P
66,elk                                               ,elksmwq   ,South Marsh                             ,36° 49' 4.44 N - 121° 44' 21.84 W,36.8179,121.7394,Active    ,Jun 1995-,ca        ,Elkhorn Slough                                    ,R         ,3B026768  ,-8        ,1,6,P
67,elk                                               ,elkvmnut  ,Vierra Mouth                            ,36° 48' 39.96 N - 121° 46' 45.22 W,36.8111,121.7792,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P
68,elk                                               ,elkvmwq   ,Vierra Mouth                            ,36° 48' 39.96 N - 121° 46' 45.22 W,36.8111,121.7792,Active    ,Mar 2001-,ca        ,Elkhorn Slough                                    ,R         ,3B04D428  ,-8        ,1,6,P
69,gnd                                               ,gndbcwq   ,Bayou Cumbest                           ,30° 23' 0.96 N - 88° 26' 11.04 W,30.3836,88.4364,Active    ,Mar 2004-,ms        ,Grand Bay                                         ,,,-6        ,1,4,P
70,gnd                                               ,gndbhwq   ,Bayou Heron                             ,30° 25' 4.08 N - 88° 24' 19.44 W,30.4178,88.4054,Active    ,Jan 2004-,ms        ,Grand Bay                                         ,R         ,3B006C4E  ,-6        ,1,4,P
71,gnd                                               ,gndblwq   ,Bangs Lake                              ,30° 21' 25.56 N - 88° 27' 46.44 W,30.3571,88.4629,Active    ,Mar 2004-,ms        ,Grand Bay                                         ,R         ,3B007F38  ,-6        ,1,4,P
72,gnd                                               ,gndcrwq   ,Crooked Bayou                           ,30° 21' 35.64 N - 88° 25' 8.40 W,30.3599,88.419,Inactive  ,Jan 2004-May 2004; Aug 2004-Aug 2005,ms        ,Grand Bay                                         ,,,-6        ,1,4,P
283,gnd                                               ,gndbhnut  ,Bayou Heron                             ,30° 25' 4.08 N - 88° 24' 19.44 W,30.4178,88.4054,Active    ,Feb 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,P
284,gnd                                               ,gndcrnut  ,Crooked Bayou                           ,30° 21' 32.76 N - 88° 25' 12.00 W,30.3591,88.4200,Inactive  ,Feb 2005 - July 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,P
285,gnd                                               ,gndpcnut  ,Point Aux Chenes                        ,30° 20' 54.96 N - 88° 25' 6.60 W,30.3486,88.4185,Active    ,Feb 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,P
286,gnd                                               ,gndbcnut  ,Bayou Cumbest                           ,30° 23' 0.96 N - 88° 26' 11.04 W,30.3836,88.4364,Active    ,Feb 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,P
287,gnd                                               ,gndblnut  ,Bangs Lake                              ,30° 21' 25.56 N - 88° 27' 46.44 W,30.3571,88.4629,Active    ,Feb 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,P
288,gnd                                               ,gndbnnut  ,Bangs Lake North                        ,30° 22' 0.84 N - 88° 28' 15.60 W,30.3669,88.471,Active    ,Feb 2005,ms        ,Grand Bay                                         ,,,-6        ,2,4,S
276,gnd                                               ,gndpcwq   ,Point Aux Chenes Bay                    ,30° 20' 54.96 N - 88° 25' 6.60 W,30.3486,88.4185,Active    ,Aug 2005-,ms        ,Grand Bay                                         ,,,-6        ,1,4,P
277,gnd                                               ,gndcrmet  ,Crooked Bayou                           ,30° 21' 33.12 N - 88° 25' 12.00 W,30.3592,88.4200,Active    ,Aug 2004-,ms        ,Grand Bay                                         ,R         ,3B0190E2  ,-6        ,0,4,P
474,gnd                                               ,gndhsnut  ,Bayou Heron Surface                     ,30° 25' 4.08 N - 88° 24' 19.44 W,30.4178,88.4054,Active    ,Feb 2005-,MS        ,Grand Bay                                         ,,,-6        ,2,4,S
281,grb                                               ,grbglmet  ,Greenland                               ,43° 3' 31.56 N - 70° 49' 49.38 W,43.058768,70.830383,Active    ,Oct 2005-,nh        ,Great Bay                                         ,R         ,3B023714  ,-5        ,0,0,P
73,grb                                               ,grbgbmet  ,Great Bay                               ,43° 5' 31.56 N - 70° 51' 51.12 W,43.0921,70.8642,Inactive  ,Jul 2001-Oct 2005,nh        ,Great Bay                                         ,,,-5        ,0,0,P
74,grb                                               ,grbgbnut  ,Great Bay                               ,43° 4' 19.92 N - 70° 52' 9.84 W,43.0722,70.8694,Active    ,Apr 2002-,nh        ,Great Bay                                         ,,,-5        ,2,0,P
75,grb                                               ,grbgbwq   ,Great Bay                               ,43° 4' 19.92 N - 70° 52' 9.84 W,43.0722,70.8694,Active    ,Jul 1995-,nh        ,Great Bay                                         ,R         ,HTML9     ,-5        ,1,0,P
76,grb                                               ,grblrnut  ,Lamprey River                           ,43° 4' 48.00 N - 70° 56' 3.84 W,43.08,70.9344,Active    ,Apr 2002-,nh        ,Great Bay                                         ,,,-5        ,2,0,P
77,grb                                               ,grblrwq   ,Lamprey River                           ,43° 4' 48.00 N - 70° 56' 3.84 W,43.08,70.9344,Active    ,Oct 1998-,nh        ,Great Bay                                         ,R         ,HTML10    ,-5        ,1,0,P
78,grb                                               ,grbornut  ,Oyster River                            ,43° 8' 2.40 N - 70° 54' 39.60 W,43.134,70.911,Active    ,May 2002-,nh        ,Great Bay                                         ,,,-5        ,2,0,P
79,grb                                               ,grborwq   ,Oyster River                            ,43° 8' 2.40 N - 70° 54' 39.60 W,43.134,70.911,Active    ,Apr 2002-,nh        ,Great Bay                                         ,R         ,3B03437E  ,-5        ,1,0,P
80,grb                                               ,grbsqnut  ,Squamscott River                        ,43° 2' 29.76 N - 70° 55' 19.20 W,43.052403, 70.911811,Active    ,Apr 2002-,nh        ,Great Bay                                         ,,,-5        ,2,0,P
81,grb                                               ,grbsqwq   ,Squamscott River                        ,43° 2' 29.76 N - 70° 55' 19.20 W,43.052403, 70.911811,Active    ,Jul 1997-,nh        ,Great Bay                                         ,R         ,HTML11    ,-5        ,1,0,P
82,gtm                                               ,gtmfmnut  ,Fort Matanzas                           ,29° 44' 13.20 N - 81° 14' 45.60 W,29.737041,81.245953,Active    ,May 2002-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,2,2,P
83,gtm                                               ,gtmfmwq   ,Fort Matanzas                           ,29° 44' 13.20 N - 81° 14' 45.60 W,29.737041,81.245953,Active    ,Jan 2001-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,1,2,P
84,gtm                                               ,gtmpcmet  ,Pellicer Creek                          ,29° 39' 28.08 N - 81° 13' 58 W,29.657702,81.232743,Active    ,Sep 2002-,fl        ,Guana Tolomato Mantanzas                          ,R         ,3B01B60E  ,-5        ,0,2,P
85,gtm                                               ,gtmpcnut  ,Pellicer Creek                          ,29° 40' 01 N - 81° 15' 27 W,29.667071,81.257403,Active    ,May 2002-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,2,2,P
86,gtm                                               ,gtmpcwq   ,Pellicer Creek                          ,29° 40' 01 N - 81° 15' 27 W,29.667071,81.257403,Active    ,Feb 2002-,fl        ,Guana Tolomato Mantanzas                          ,R         ,3B02C790  ,-5        ,1,2,P
87,gtm                                               ,gtmpinut  ,Pine Island                             ,30° 3' 2.88 N - 81° 22' 3.00 W,30.050857,81.367465,Active    ,May 2002-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,2,2,P
88,gtm                                               ,gtmpiwq   ,Pine Island                             ,30° 3' 2.88 N - 81° 22' 3.00 W,30.050857,81.367465,Active    ,Jan 2001-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,1,2,P
89,gtm                                               ,gtmssnut  ,San Sebastian                           ,29° 52' 08 N - 81° 18' 27 W,29.868851,81.307428,Active    ,May 2002-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,2,2,P
90,gtm                                               ,gtmsswq   ,San Sebastian                           ,29° 52' 08 N - 81° 18' 27 W,29.868851,81.307428,Active    ,Feb 2002-,fl        ,Guana Tolomato Mantanzas                          ,,,-5        ,1,2,P
91,hud                                               ,hudfsmet  ,Field Station                           ,42° 1' 5.52 N - 73° 55' 1.20 W,42.0182,73.917,Active    ,Jan 2001-,ny        ,Hudson River                                      ,R         ,3B00B4F4  ,-5        ,0,0,P
92,hud                                               ,hudscnut  ,Stony Creek                             ,42° 2' 46.68 N - 73° 54' 38.88 W,42.0463,73.9108,Active    ,Feb 2002-,ny        ,Hudson River                                      ,,,-5        ,2,0,P
93,hud                                               ,hudscwq   ,Stony Creek                             ,42° 2' 46.68 N - 73° 54' 38.88 W,42.0463,73.9108,Active    ,Apr 2002-,ny        ,Hudson River                                      ,R         ,3B03A08C  ,-5        ,1,0,P
94,hud                                               ,hudsknut  ,Saw Kill                                ,42° 1' 1.82 N - 73° 54' 53.86 W,42.0171722,073.9149611,Active    ,Feb 2002-,ny        ,Hudson River                                      ,,,-5        ,2,0,P
95,hud                                               ,hudskwq   ,Saw Kill                                ,42° 1' 1.82 N - 73° 54' 53.86 W,42.0171722,73.9149611,Active    ,May 1995-,ny        ,Hudson River                                      ,R         ,3B010580  ,-5        ,1,0,P
96,hud                                               ,hudtnnut  ,Tivoli North Bay                        ,42° 2' 11.56 N - 73° 55' 31.17 W,42.0365457,73.9253240,Active    ,Feb 2002-,ny        ,Hudson River                                      ,,,-5        ,2,0,P
97,hud                                               ,hudtnwq   ,Tivoli North Bay                        ,42° 2' 11.56 N - 73° 55' 31.17 W,42.0365457,73.9253240,Active    ,Jul 1996-Dec 1996; Jul 1999-,ny        ,Hudson River                                      ,R         ,3B0550C6  ,-5        ,1,0,P
98,hud                                               ,hudtsnut  ,Tivoli South Bay                        ,42° 1' 37.34 N - 73° 55' 33.45 W,42.0270378,73.9259569,Active    ,Feb 2002-,ny        ,Hudson River                                      ,,,-5        ,2,0,P
99,hud                                               ,hudtswq   ,Tivoli South Bay                        ,42° 1' 37.34 N - 73° 55' 33.45 W,42.0270378,73.9259569,Active    ,May 1995-,ny        ,Hudson River                                      ,R         ,3B00A782  ,-5        ,1,0,P
127,jac                                               ,jacb5nut  ,Buoy 115                                ,39° 31' 7.68 N - 74° 17' 13.92 W,39.5188,74.2872,Active    ,Feb 2002-,nj        ,Jacques Cousteau                                  ,,,-5        ,2,1,S
128,jac                                               ,jacb6nut  ,Buoy 126                                ,39° 30' 28.44 N - 74° 20' 18.67 W,39.5079,74.3385,Active    ,Feb 2002-,nj        ,Jacques Cousteau                                  ,,,-5        ,2,1,P
129,jac                                               ,jacb6wq   ,Buoy 126                                ,39° 30' 28.44 N - 74° 20' 18.67 W,39.5079,74.3385,Active    ,Aug 1996-,nj        ,Jacques Cousteau                                  ,R         ,3B00C264  ,-5        ,1,1,P
130,jac                                               ,jacb9nut  ,Buoy 139                                ,39° 29' 24.65 N - 74° 22' 53.83 W,39.4902,74.3816,Active    ,Feb 2002-,nj        ,Jacques Cousteau                                  ,,,-5        ,2,1,P
131,jac                                               ,jacb9wq   ,Buoy 139                                ,39° 29' 24.65 N - 74° 22' 53.83 W,39.4902,74.3816,Active    ,Aug 1996-Dec 1998; May 2002-,nj        ,Jacques Cousteau                                  ,,,-5        ,1,1,P
132,jac                                               ,jacbanut  ,Lower Bank                              ,39° 35' 37.18 N - 74° 33' 5.44 W,39.5937,74.5515,Active    ,Feb 2002-,nj        ,Jacques Cousteau                                  ,,,-5        ,2,1,P
133,jac                                               ,jacbawq   ,Lower Bank                              ,39° 35' 37.18 N - 74° 33' 5.44 W,39.5937,74.5515,Active    ,Oct 1996-,nj        ,Jacques Cousteau                                  ,,,-5        ,1,1,P
134,jac                                               ,jacncmet  ,Nacote Creek                            ,39° 32' 6.00 N - 74° 27' 48.96 W,39.535,74.4636,Active    ,Oct 2002-,nj        ,Jacques Cousteau                                  ,R         ,3B00D112  ,-5        ,0,1,P
